,rs,baldereschi,N,M,E_CCSD_corr,E_CCSD_s_corr,E_CCSD_os_corr,E_CCSDT_corr,E_CCSDT_s_corr,E_CCSDT_os_corr,E_DCSD_corr,E_DCSD_s_corr,E_DCSD_os_corr,E_CCSDT_pt_corr,E_CCSDT_1_corr,E_CCSDT_1_s_corr,E_CCSDT_1_os_corr,E_MP2_corr,E_MP2_s_corr,E_MP2_os_corr,E_CCSDT_rt_corr,E_CCSDT_rt_s_corr,E_CCSDT_rt_os_corr
0,4.0,True,34,52,-0.0884942297539847,-0.0224698546247515,-0.0660243751292331,-0.0978815603722963,-0.0246174346856736,-0.0732641256866226,-0.0940320121743364,-0.0239275365491803,-0.0701044756251561,-0.0952386388104369,-0.0952505638259913,-0.0242589216068754,-0.0709916422191158,-0.061572106949563,-0.0187941149878114,-0.0427779919617516,-0.0926771902911641,-0.0234694839850403,-0.0692077063061238
1,4.0,True,52,76,-0.0912676812288985,-0.0272747270686163,-0.0639929541602822,-0.1008818438062904,-0.0296321058830396,-0.0712497379232507,-0.0968515759745825,-0.0288528319274069,-0.0679987440471755,-0.0988501074925815,-0.0990424409136114,-0.0296158068384564,-0.0694266340751549,-0.0735452278867923,-0.0260349554192457,-0.0475102724675466,-0.095812999365713,-0.0284717710935459,-0.067341228272167
2,4.0,True,90,138,-0.2954463477996755,-0.0957041868942292,-0.1997421609054463,-0.3307226661342343,-0.1041997162768613,-0.2265229498573728,-0.3168137405304465,-0.1017302481647648,-0.2150834923656816,-0.333578994796369,-0.337497282415326,-0.1084382398195048,-0.2290590425958212,-0.3070885703241433,-0.1164308764218098,-0.1906576939023334,-0.3155450217140482,-0.1008986450386624,-0.2146463766753857
3,4.0,True,120,180,-0.441278762518406,-0.1525363563938382,-0.2887424061245677,-0.4969491830684825,-0.1663210595716346,-0.3306281234968479,-0.4771061320977178,-0.1619298338567334,-0.3151762982409843,-0.5126880470065069,-0.5247485893212253,-0.1792816397197708,-0.3454669496014544,-0.5577770619424829,-0.2239755218133556,-0.3338015401291272,-0.4759065984446859,-0.1617896745081277,-0.3141169239365582
4,4.0,True,138,210,-0.4963792070214755,-0.1801552485887351,-0.3162239584327404,-0.5578746114124131,-0.1978210322075036,-0.3600535792049095,-0.5310285984278609,-0.1914276406853521,-0.3396009577425088,-0.5761155785426653,-0.5900637821367689,-0.211968988239224,-0.3780947938975448,-0.621238746468366,-0.2539472031442337,-0.3672915433241323,-0.5355306018355834,-0.1916844073262116,-0.3438461945093718
5,4.0,True,156,228,-0.5258540993519882,-0.1880269568162334,-0.3378271425357547,-0.5957291986902292,-0.206743141755678,-0.3889860569345512,-0.5659156471470538,-0.199277261255384,-0.3666383858916697,-0.6214268634431289,-0.6407805579144426,-0.2265155968131544,-0.4142649611012881,-0.6930809086826479,-0.2835720807476083,-0.4095088279350396,-0.5716307084842746,-0.2009775510590221,-0.3706531574252524
6,4.0,True,180,266,-0.6339682670602687,-0.2273744618274929,-0.4065938052327756,-0.7159739817801848,-0.2485005468640898,-0.467473434916095,-0.6844021111003163,-0.2421177673043499,-0.4422843437959664,-0.7460342229459298,-0.768601181336428,-0.2705212783064648,-0.4980799030299631,-0.8636339442087653,-0.3570191961846726,-0.5066147480240927,-0.6870620729193071,-0.2418606337605865,-0.4452014391587205
7,4.0,True,180,272,-0.7083749470845675,-0.2540492769024762,-0.4543256701820912,-0.8002419354014182,-0.2772557078453567,-0.5229862275560615,-0.7656933307207836,-0.2706996301076494,-0.4949937006131342,-0.8377370897865877,-0.8658699190172459,-0.3042605619807199,-0.5616093570365259,-0.9974577370403066,-0.4141210653533829,-0.5833366716869237,-0.7684074789036162,-0.2701402033662268,-0.4982672755373894
8,4.0,True,228,344,-0.9482404524831504,-0.3540653196893326,-0.594175132793818,,,,-1.020912717646016,-0.3762974917969438,-0.644615225849072,-1.1554458302629165,,,,-1.5094789437381713,-0.6450869556348836,-0.8643919881032875,,,
9,4.0,True,242,368,-1.032074858273015,-0.3831631755804086,-0.6489116826926064,,,,-1.1145466715306944,-0.4067727977685031,-0.7077738737621913,-1.262450908724024,,,,-1.7100149813390888,-0.7327563884864371,-0.9772585928526516,,,
10,4.0,True,266,392,-0.9552529581797436,-0.36270712142963,-0.5925458367501135,,,,-1.024067820537049,-0.3848308096098766,-0.6392370109271724,-1.1530533479199243,,,,-1.4520133399175084,-0.6216388617086128,-0.8303744782088955,,,
11,4.0,True,272,410,-1.1262616813385664,-0.4258110229974825,-0.7004506583410838,,,,-1.2122792537108122,-0.4524828099527851,-0.7597964437580271,-1.3755687167610926,,,,-1.8648721553845573,-0.8050671448948246,-1.059805010489733,,,
12,4.0,True,302,464,-1.3788998002261783,-0.5158313162617623,-0.863068483964416,,,,-1.4923686011295918,-0.5472930963822216,-0.9450755047473705,-1.7076845224929251,,,,-2.56505917834686,-1.1183039377240522,-1.4467552406228072,,,
13,4.0,True,332,502,-1.4715013758213478,-0.5631878916160047,-0.9083134842053432,,,,-1.5888898199212047,-0.59795106373558,-0.9909387561856248,-1.8444313428151784,,,,-2.7990427305645458,-1.2283565990297454,-1.5706861315348004,,,
14,4.0,True,368,544,-1.525029865332948,-0.5915678731754878,-0.9334619921574604,,,,-1.642791610703743,-0.6278321632368581,-1.0149594474668848,-1.9227922030452285,,,,-2.949599206491696,-1.3039326394182895,-1.6456665670734063,,,
15,4.0,True,392,580,-1.6644273206480378,-0.6471691697114157,-1.017258150936622,,,,-1.7953285129837608,-0.6872295920112927,-1.108098920972468,-2.117702237877753,,,,-3.374278136141592,-1.4999569248243745,-1.8743212113172167,,,
16,4.0,True,410,610,-1.756379350872157,-0.6785676511338308,-1.0778116997383262,,,,-1.894772482290657,-0.7211241635834478,-1.17364831870721,-2.2256044210346064,,,,-3.3948307835875893,-1.4994707901300712,-1.8953599934575185,,,
17,4.0,True,410,628,-1.9085153346052173,-0.7321692904562866,-1.176346044148931,,,,-2.061141790586986,-0.7782371541104629,-1.282904636476523,-2.408677492234352,,,,-3.736889321141532,-1.649683672504466,-2.087205648637066,,,
18,4.0,True,434,652,-1.894333270142329,-0.7348941351602862,-1.1594391349820428,,,,-2.0423436749267587,-0.7801099830862452,-1.2622336918405133,-2.4036354878179043,,,,-3.837062410164961,-1.7048998668714128,-2.1321625432935485,,,
19,4.0,True,464,700,-2.095898280729144,-0.8209970767540787,-1.2749012039750651,,,,-2.2592602449315224,-0.8721960517944342,-1.3870641931370882,-2.6698760902960506,,,,-4.422784846103493,-1.9789059268129665,-2.443878919290527,,,
20,4.0,True,476,700,-2.048988018708868,-0.806410768360923,-1.242577250347945,,,,-2.211292164091056,-0.8560080689068157,-1.3552840951842404,-2.651307715655173,,,,-4.534239057010158,-2.0369665290155563,-2.497272527994601,,,
21,4.0,True,476,718,-2.2349131696753632,-0.8750828834237201,-1.3598302862516431,,,,-2.414175461309418,-0.9293677773453092,-1.484807683964109,-2.8876018395532146,,,,-4.987547392169076,-2.2384981054739552,-2.749049286695121,,,
22,4.0,True,502,754,-2.342140509885584,-0.9181741990348624,-1.4239663108507212,,,,-2.5297178498784234,-0.9756694914399384,-1.554048358438485,-3.0345092603858834,,,,-5.190648314187706,-2.330571637577167,-2.8600766766105394,,,
23,4.0,True,544,796,-2.3676317528981428,-0.9336267053745484,-1.4340050475235946,,,,,,,-3.1099388239727976,,,,-5.470581292681361,-2.4639798363902385,-3.0066014562911225,,,
24,4.0,True,544,832,-2.720255428226235,-1.0633470971742436,-1.6569083310519912,,,,,,,-3.5565762512385297,,,,-6.450319358608042,-2.90576319845803,-3.5445561601500124,,,
25,4.0,True,568,832,-2.426201435440821,-0.95998777313688,-1.4662136623039412,,,,,,,-3.1703126072348264,,,,-5.468355829150562,-2.465719718693588,-3.0026361104569745,,,
26,4.0,True,568,862,-2.7296483466316497,-1.071895796350705,-1.6577525502809445,,,,,,,-3.557105500996702,,,,-6.273271888278732,-2.828155219170869,-3.445116669107862,,,
27,4.0,True,580,862,-2.5939826607177414,-1.025077446299729,-1.5689052144180122,,,,,,,-3.379382061142435,,,,-5.862003987957519,-2.6438576825065754,-3.218146305450944,,,
28,4.0,True,580,886,-2.8595601791794483,-1.1238541909720836,-1.7357059882073649,,,,,,,-3.711024156530208,,,,-6.5217493118013365,-2.939627979373975,-3.582121332427361,,,
29,4.0,True,610,912,-2.787027517337472,-1.1035238032667678,-1.6835037140707043,,,,,,,-3.6229709163585695,,,,-6.44697314576559,-2.9178771856186385,-3.529095960146952,,,
30,4.0,True,628,960,-3.0714689121875205,-1.2147362352539055,-1.8567326769336148,,,,,,,-3.986963862102157,,,,-7.102948038334821,-3.2138357452800115,-3.88911229305481,,,
31,4.0,True,652,960,,,,,,,,,,,,,,-7.136639916123329,-3.2451502384177062,-3.891489677705623,,,
32,4.0,True,652,978,,,,,,,,,,,,,,-7.634681166384907,-3.4696919712136056,-4.164989195171302,,,
33,4.0,True,700,1056,,,,,,,,,,,,,,-8.67747473557219,-3.945154191478919,-4.732320544093271,,,
34,4.0,True,700,1068,,,,,,,,,,,,,,-9.024669713932353,-4.102060587321595,-4.922609126610758,,,
35,4.0,True,718,1056,,,,,,,,,,,,,,-8.413754892252278,-3.839855586922884,-4.573899305329396,,,
36,4.0,True,718,1068,,,,,,,,,,,,,,-8.79296551777319,-4.012065968240632,-4.780899549532559,,,
37,4.0,True,718,1104,,,,,,,,,,,,,,-9.795284175657198,-4.463306269268794,-5.331977906388404,,,
38,4.0,True,754,1104,,,,,,,,,,,,,,-8.725988107610176,-3.989295003250835,-4.736693104359341,,,
39,4.0,True,754,1158,,,,,,,,,,,,,,-10.274829185259676,-4.688507267409635,-5.586321917850042,,,
40,4.0,True,778,1158,,,,,,,,,,,,,,-9.3954732420534,-4.290928416582217,-5.104544825471183,,,
41,4.0,True,778,1170,,,,,,,,,,,,,,-9.771440175493478,-4.462169894439713,-5.309270281053765,,,
42,4.0,True,778,1194,,,,,,,,,,,,,,-10.4762531174764,-4.78214857991024,-5.694104537566159,,,
43,4.0,True,796,1170,,,,,,,,,,,,,,-9.146555773118774,-4.181451178504837,-4.965104594613937,,,
44,4.0,True,796,1194,,,,,,,,,,,,,,-9.831406989533006,-4.491860256208632,-5.339546733324374,,,
45,4.0,True,796,1224,,,,,,,,,,,,,,-10.662839061341868,-4.866750175579824,-5.7960888857620425,,,
46,4.0,True,832,1224,,,,,,,,,,,,,,-9.90474312287363,-4.542106515817503,-5.3626366070561255,,,
47,4.0,True,832,1260,,,,,,,,,,,,,,-10.97039643340776,-5.025709359402014,-5.9446870740057465,,,
48,4.0,True,862,1260,,,,,,,,,,,,,,-10.168740354141548,-4.669550930077245,-5.499189424064304,,,
49,4.0,True,862,1308,,,,,,,,,,,,,,-11.614175483021633,-5.325081317950249,-6.289094165071382,,,
50,4.0,True,886,1308,,,,,,,,,,,,,,-10.776063499620316,-4.94286756256739,-5.833195937052927,,,
51,4.0,True,886,1350,,,,,,,,,,,,,,-12.031912736098898,-5.513101920999887,-6.518810815099011,,,
52,4.0,True,912,1350,,,,,,,,,,,,,,-11.650430526685364,-5.351840509851,-6.298590016834364,,,
53,4.0,True,912,1380,,,,,,,,,,,,,,-12.43700973132163,-5.703728350688086,-6.733281380633544,,,
54,4.0,True,912,1404,,,,,,,,,,,,,,-13.21416083280822,-6.058536776107437,-7.1556240567007805,,,
55,4.0,True,960,1404,,,,,,,,,,,,,,-12.578999623331349,-5.799233946218385,-6.779765677112963,,,
56,4.0,True,960,1458,,,,,,,,,,,,,,-14.426822186626923,-6.64629775773942,-7.780524428887505,,,
57,4.0,True,960,1476,,,,,,,,,,,,,,-14.96477306304202,-6.890006770435495,-8.074766292606526,,,
58,4.0,True,978,1458,,,,,,,,,,,,,,-13.576739403024051,-6.259757574458872,-7.31698182856518,,,
59,4.0,True,978,1476,,,,,,,,,,,,,,-14.098950410314115,-6.495952777702446,-7.602997632611672,,,
60,4.0,True,978,1502,,,,,,,,,,,,,,-14.82586173470833,-6.823221602206352,-8.002640132501979,,,
61,4.0,True,1008,1476,,,,,,,,,,,,,,-13.355922745508073,-6.165576166145828,-7.1903465793622425,,,
62,4.0,True,1008,1502,,,,,,,,,,,,,,-14.253183950564916,-6.57739570405377,-7.675788246511147,,,
63,4.0,True,1008,1538,,,,,,,,,,,,,,-15.09311996973802,-6.949677399039434,-8.143442570698586,,,
64,4.0,True,1056,1568,,,,,,,,,,,,,,-14.531606928650069,-6.704800758354612,-7.826806170295455,,,
65,4.0,True,1056,1622,,,,,,,,,,,,,,-16.245853007749858,-7.48710972332772,-8.758743284422138,,,
66,4.0,True,1068,1568,,,,,,,,,,,,,,-14.1021963100057,-6.507216256228584,-7.594980053777114,,,
67,4.0,True,1068,1622,,,,,,,,,,,,,,-15.85012590379885,-7.305887530801877,-8.544238372996972,,,
68,4.0,True,1104,1622,,,,,,,,,,,,,,-15.504435522535772,-7.17786130508617,-8.326574217449602,,,
69,4.0,True,1104,1676,,,,,,,,,,,,,,-17.193643383196697,-7.9461097164577295,-9.247533666738969,,,
70,4.0,True,1104,1694,,,,,,,,,,,,,,-17.836252807897452,-8.242257230171568,-9.593995577725885,,,
71,4.0,True,1158,1694,,,,,,,,,,,,,,-15.675116027983371,-7.259544844151355,-8.415571183832018,,,
72,4.0,True,1158,1718,,,,,,,,,,,,,,-16.5639847862331,-7.669318251108717,-8.894666535124385,,,
73,4.0,True,1158,1772,,,,,,,,,,,,,,-18.077813011007912,-8.352182296767845,-9.725630714240069,,,
74,4.0,True,1170,1718,,,,,,,,,,,,,,-16.16844991832181,-7.489602923659443,-8.678846994662365,,,
75,4.0,True,1170,1772,,,,,,,,,,,,,,-17.87788675600802,-8.268451079031625,-9.609435676976396,,,
76,4.0,True,1194,1772,,,,,,,,,,,,,,-16.776040826411595,-7.762679835735263,-9.013360990676333,,,
77,4.0,True,1194,1802,,,,,,,,,,,,,,-17.747264348560414,-8.207390487561657,-9.539873860998757,,,
78,4.0,True,1224,1802,,,,,,,,,,,,,,-17.71589527765442,-8.224850875864664,-9.491044401789756,,,
79,4.0,True,1224,1850,,,,,,,,,,,,,,-19.286204405113885,-8.941841295240529,-10.344363109873354,,,
80,4.0,True,1260,1850,,,,,,,,,,,,,,-18.54801464440768,-8.618347393474814,-9.929667250932866,,,
81,4.0,True,1260,1892,,,,,,,,,,,,,,-19.9687614398564,-9.269801855852329,-10.69895958400407,,,
82,4.0,True,1260,1916,,,,,,,,,,,,,,-20.520194666513508,-9.512984465240296,-11.00721020127321,,,
83,4.0,True,1308,1916,,,,,,,,,,,,,,-19.46510895666305,-9.048039728498656,-10.417069228164394,,,
84,4.0,True,1308,1946,,,,,,,,,,,,,,-20.42548983856004,-9.48688672770491,-10.938603110855128,,,
85,4.0,True,1308,2006,,,,,,,,,,,,,,-22.280743327880675,-10.330956769073085,-11.949786558807592,,,
86,4.0,True,1350,2006,,,,,,,,,,,,,,-21.137549017180746,-9.822498853895189,-11.31505016328556,,,
87,4.0,True,1350,2036,,,,,,,,,,,,,,-22.218748980504863,-10.320274008037774,-11.898474972467092,,,
88,4.0,True,1350,2060,,,,,,,,,,,,,,-23.024199410363355,-10.68908616452032,-12.335113245843036,,,
89,4.0,True,1380,2036,,,,,,,,,,,,,,-21.219109005792667,-9.872381635649385,-11.346727370143284,,,
90,4.0,True,1380,2060,,,,,,,,,,,,,,-22.033822296057263,-10.245697838666338,-11.788124457390929,,,
91,4.0,True,1380,2120,,,,,,,,,,,,,,-23.88392382866948,-11.087157196234315,-12.79676663243516,,,
92,4.0,True,1404,2060,,,,,,,,,,,,,,-21.51414700524719,-10.021191861199858,-11.492955144047333,,,
93,4.0,True,1404,2120,,,,,,,,,,,,,,-23.557521356535283,-10.958226429486524,-12.59929492704876,,,
94,4.0,True,1404,2138,,,,,,,,,,,,,,-24.05020293889599,-11.179906922188875,-12.870296016707114,,,
95,4.0,True,1458,2138,,,,,,,,,,,,,,-22.337635572512063,-10.410631386118018,-11.927004186394049,,,
96,4.0,True,1458,2186,,,,,,,,,,,,,,-23.852436345673503,-11.102231919937212,-12.75020442573629,,,
97,4.0,True,1476,2186,,,,,,,,,,,,,,-23.040896419218846,-10.733356460583186,-12.307539958635662,,,
98,4.0,True,1476,2252,,,,,,,,,,,,,,-25.119334386184025,-11.680665328576046,-13.438669057607976,,,
99,4.0,True,1502,2252,,,,,,,,,,,,,,-24.127940998220545,-11.230055106873357,-12.897885891347189,,,
100,4.0,True,1502,2276,,,,,,,,,,,,,,-24.68654670667875,-11.476990029652892,-13.20955667702586,,,
101,4.0,True,1538,2252,,,,,,,,,,,,,,-23.637789466824064,-11.028613636656765,-12.6091758301673,,,
102,4.0,True,1538,2276,,,,,,,,,,,,,,-24.42981767526344,-11.39074801535498,-13.039069659908458,,,
103,4.0,True,1538,2332,,,,,,,,,,,,,,-26.321155359895496,-12.2568761700159,-14.064279189879596,,,
104,4.0,True,1538,2362,,,,,,,,,,,,,,-27.30280732861631,-12.70451142718344,-14.59829590143287,,,
105,4.0,True,1568,2332,,,,,,,,,,,,,,-25.84581177838312,-12.05882865958834,-13.786983118794776,,,
106,4.0,True,1568,2362,,,,,,,,,,,,,,-26.825159069290123,-12.504743337810076,-14.320415731480049,,,
107,4.0,True,1568,2392,,,,,,,,,,,,,,-27.64961902841923,-12.874958921942858,-14.774660106476372,,,
108,4.0,True,1622,2392,,,,,,,,,,,,,,-26.56643932657088,-12.408304116625503,-14.158135209945378,,,
109,4.0,True,1622,2452,,,,,,,,,,,,,,-28.660074510613743,-13.370190744949015,-15.289883765664728,,,
110,4.0,True,1622,2488,,,,,,,,,,,,,,-29.81824463811875,-13.89806191842631,-15.92018271969244,,,
111,4.0,True,1676,2452,,,,,,,,,,,,,,-27.433288818543787,-12.833344578308832,-14.599944240234953,,,
112,4.0,True,1676,2488,,,,,,,,,,,,,,-28.775223551000288,-13.453088512627598,-15.32213503837269,,,
113,4.0,True,1676,2512,,,,,,,,,,,,,,-29.5986630982982,-13.830341072973162,-15.768322025325036,,,
114,4.0,True,1676,2536,,,,,,,,,,,,,,-30.27162180968821,-14.13435171902688,-16.137270090661325,,,
115,4.0,True,1694,2488,,,,,,,,,,,,,,-27.82801487715922,-13.016447609582173,-14.811567267577049,,,
116,4.0,True,1694,2512,,,,,,,,,,,,,,-28.65071352391796,-13.393282638747904,-15.25743088517005,,,
117,4.0,True,1694,2536,,,,,,,,,,,,,,-29.31443108189412,-13.693179003111617,-15.6212520787825,,,
118,4.0,True,1694,2608,,,,,,,,,,,,,,-31.32570446181893,-14.59998158434975,-16.725722877469178,,,
119,4.0,True,1718,2512,,,,,,,,,,,,,,-28.001633115675205,-13.10307470922208,-14.898558406453123,,,
120,4.0,True,1718,2536,,,,,,,,,,,,,,-28.88769612015001,-13.512766742773357,-15.374929377376665,,,
121,4.0,True,1718,2608,,,,,,,,,,,,,,-30.97893443050745,-14.45936975946427,-16.51956467104318,,,
122,4.0,True,1718,2638,,,,,,,,,,,,,,-31.92237438954457,-14.88937154196998,-17.03300284757459,,,
123,4.0,True,1772,2608,,,,,,,,,,,,,,-29.70566896595496,-13.903579736641388,-15.802089229313566,,,
124,4.0,True,1772,2638,,,,,,,,,,,,,,-30.70653904343324,-14.361885411379866,-16.344653632053372,,,
125,4.0,True,1772,2692,,,,,,,,,,,,,,-32.34910124522901,-15.108052443064388,-17.241048802164624,,,
126,4.0,True,1802,2638,,,,,,,,,,,,,,-29.424953486797047,-13.770870711524683,-15.654082775272364,,,
127,4.0,True,1802,2692,,,,,,,,,,,,,,-31.112929039353965,-14.53946820612448,-16.573460833229486,,,
128,4.0,True,1802,2764,,,,,,,,,,,,,,-33.52551592533622,-15.644464179170336,-17.88105174616589,,,
129,4.0,True,1850,2764,,,,,,,,,,,,,,-32.80683328734694,-15.353907403939996,-17.45292588340694,,,
130,4.0,True,1850,2788,,,,,,,,,,,,,,-33.607383478123424,-15.720230021043095,-17.887153457080327,,,
131,4.0,True,1850,2824,,,,,,,,,,,,,,-34.56840296504527,-16.151080063833877,-18.4173229012114,,,
132,4.0,True,1892,2764,,,,,,,,,,,,,,-31.76322524913568,-14.895684137474568,-16.86754111166111,,,
133,4.0,True,1892,2788,,,,,,,,,,,,,,-32.642743048956824,-15.299704703003693,-17.343038345953133,,,
134,4.0,True,1892,2824,,,,,,,,,,,,,,-33.823327357568004,-15.838990362869342,-17.984336994698666,,,
135,4.0,True,1892,2884,,,,,,,,,,,,,,-35.7326956963707,-16.708981552705097,-19.0237141436656,,,
136,4.0,True,1916,2824,,,,,,,,,,,,,,-33.091466330963385,-15.516008665631166,-17.575457665332223,,,
137,4.0,True,1916,2884,,,,,,,,,,,,,,-34.99797626655868,-16.38436563172785,-18.613610634830835,,,
138,4.0,True,1916,2914,,,,,,,,,,,,,,-36.00194480355776,-16.843904782461948,-19.15804002109581,,,
139,4.0,True,1916,2938,,,,,,,,,,,,,,-36.55949344673712,-17.091293198278954,-19.468200248458164,,,
140,4.0,True,1946,2884,,,,,,,,,,,,,,-33.92473565594818,-15.893305209006666,-18.03143044694152,,,
141,4.0,True,1946,2914,,,,,,,,,,,,,,-35.03575162148268,-16.405751216074147,-18.63000040540853,,,
142,4.0,True,1946,2938,,,,,,,,,,,,,,-35.595885352285705,-16.654434840984976,-18.94145051130073,,,
143,4.0,True,2006,2938,,,,,,,,,,,,,,-34.72880335817561,-16.307348789278546,-18.421454568897065,,,
144,4.0,True,2006,2998,,,,,,,,,,,,,,-36.55767470528132,-17.137676566173596,-19.419998139107715,,,
145,4.0,True,2006,3040,,,,,,,,,,,,,,-37.83801903873112,-17.719453643277934,-20.118565395453185,,,
146,4.0,True,2036,2998,,,,,,,,,,,,,,-35.3571625032415,-16.59086820725737,-18.766294295984125,,,
